iter	Passed	Remaining
0	8	4390
1	17	4249
2	22	3757
3	28	3542
4	36	3625
5	43	3585
6	52	3689
7	57	3551
8	64	3505
9	71	3491
10	77	3444
11	85	3472
12	93	3495
13	102	3551
14	109	3539
15	119	3609
16	130	3713
17	138	3701
18	146	3717
19	159	3822
20	167	3816
21	174	3782
22	182	3784
23	188	3740
24	196	3725
25	203	3708
26	208	3657
27	217	3658
28	222	3617
29	230	3606
30	236	3583
31	242	3543
32	250	3547
33	256	3511
34	262	3494
35	269	3470
36	275	3443
37	282	3430
38	290	3431
39	296	3412
40	304	3412
41	310	3384
42	316	3362
43	322	3343
44	328	3321
45	335	3313
46	341	3289
47	348	3279
48	353	3255
49	359	3237
50	366	3228
51	372	3207
52	378	3191
53	384	3173
54	390	3158
55	398	3157
56	403	3135
57	408	3112
58	414	3100
59	420	3080
60	425	3060
61	431	3050
62	437	3035
63	443	3021
64	450	3011
65	455	2993
66	461	2981
67	467	2968
68	472	2950
69	479	2946
70	485	2934
71	492	2926
72	498	2914
73	503	2898
74	512	2904
75	518	2890
76	523	2874
77	530	2870
78	535	2856
79	541	2841
80	550	2849
81	558	2847
82	564	2837
83	570	2822
84	575	2811
85	582	2804
86	588	2792
87	593	2780
88	599	2769
89	604	2756
90	612	2752
91	617	2738
92	622	2723
93	628	2715
94	634	2703
95	640	2695
96	647	2690
97	652	2678
98	658	2666
99	664	2658
100	671	2653
101	680	2654
102	686	2647
103	692	2636
104	699	2629
105	704	2620
106	710	2609
107	716	2601
108	721	2589
109	728	2581
110	734	2575
111	740	2565
112	746	2556
113	751	2546
114	757	2535
115	764	2529
116	769	2518
117	774	2508
118	780	2500
119	786	2490
120	793	2485
121	800	2479
122	805	2468
123	812	2462
124	816	2450
125	822	2440
126	828	2433
127	833	2422
128	838	2412
129	845	2405
130	850	2395
131	855	2385
132	861	2378
133	866	2367
134	871	2357
135	878	2350
136	883	2339
137	888	2329
138	894	2323
139	901	2317
140	907	2310
141	913	2302
142	918	2293
143	924	2284
144	930	2277
145	937	2274
146	944	2267
147	949	2258
148	956	2253
149	962	2246
150	970	2242
151	977	2237
152	982	2229
153	988	2220
154	994	2213
155	999	2205
156	1006	2198
157	1013	2193
158	1018	2184
159	1023	2175
160	1030	2169
161	1035	2160
162	1041	2152
163	1049	2150
164	1055	2142
165	1062	2137
166	1067	2128
167	1073	2121
168	1079	2113
169	1083	2104
170	1089	2096
171	1096	2091
172	1101	2082
173	1108	2076
174	1113	2068
175	1118	2059
176	1123	2051
177	1130	2045
178	1135	2036
179	1142	2030
180	1147	2022
181	1152	2014
182	1162	2012
183	1169	2007
184	1175	2000
185	1180	1993
186	1186	1986
187	1194	1981
188	1199	1973
189	1205	1966
190	1211	1960
191	1217	1952
192	1222	1945
193	1229	1938
194	1234	1930
195	1241	1925
196	1247	1919
197	1253	1911
198	1259	1905
199	1265	1898
200	1271	1891
201	1277	1885
202	1283	1877
203	1288	1869
204	1294	1862
205	1299	1855
206	1305	1847
207	1311	1841
208	1316	1833
209	1321	1825
210	1328	1819
211	1333	1811
212	1340	1806
213	1345	1798
214	1350	1790
215	1357	1784
216	1362	1776
217	1368	1770
218	1374	1763
219	1379	1755
220	1385	1748
221	1392	1743
222	1397	1735
223	1402	1728
224	1408	1722
225	1414	1714
226	1419	1707
227	1426	1701
228	1432	1694
229	1439	1689
230	1446	1684
231	1452	1678
232	1459	1672
233	1465	1665
234	1472	1660
235	1479	1654
236	1484	1647
237	1491	1641
238	1497	1635
239	1506	1632
240	1512	1625
241	1518	1618
242	1524	1612
243	1530	1606
244	1536	1599
245	1544	1594
246	1549	1586
247	1556	1581
248	1561	1574
249	1589	1589
250	1597	1584
251	1608	1583
252	1617	1578
253	1628	1577
254	1638	1574
255	1644	1567
